cow_id,file,geo_dist_hooks,geo_dist_pins,geo_angle_spine,geo_area_hip,pose_tilt,img_back_mean_b,img_back_std_b,img_back_mean_g,img_back_std_g,img_back_mean_r,img_back_std_r,img_back_sift_count,img_hip_mean_b,img_hip_std_b,img_hip_mean_g,img_hip_std_g,img_hip_mean_r,img_hip_std_r,img_hip_sift_count,img_tail_mean_b,img_tail_std_b,img_tail_mean_g,img_tail_std_g,img_tail_mean_r,img_tail_std_r,img_tail_sift_count
1386,RLC2_00_20260107213948_baia9_RLC2.jpg,0.35867495972626695,0.2023133297224665,179.5725,0.08786465940080201,0.8029559,88.915,16.263156981348978,88.923125,16.264907476969398,88.898125,16.28596777856247,43,104.20125,15.782133836636287,104.233125,15.803165117607769,104.2075,15.806942897031039,20,105.454375,14.72337999099986,105.4975,14.746863861513063,105.46625,14.750300367704382,15
1386,20260102_220312_baia20_IPC2.jpg,0.4003595743263378,0.2028171586016081,176.97423,0.10791281565600135,0.57489896,82.9325,14.699632435880837,82.93625,14.707427917127456,82.903125,14.720138933935882,0,62.29125,10.589271619781032,62.305625,10.566738775959923,62.239375,10.5343283890989,0,85.480625,32.984744573959865,85.51125,32.9647709447146,85.4825,32.985086687016604,17
1386,20260110_065715_baia21_IPC2.jpg,0.41115555039020246,0.1603720116295284,175.59038,0.08495754953289662,5.13577,96.276875,5.7228895878196875,96.278125,5.726650110175669,96.276875,5.7228895878196875,0,111.95875,23.819336649820876,111.99625,23.841822202539387,111.979375,23.842324752619554,13,142.280625,63.19225130195454,142.29625,63.19351023592138,142.2825,63.201247564822644,20
1386,RLC2_00_20260101062057_baia9_RLC2.jpg,0.38382169638854663,0.1940373954534904,175.2562,0.0875062625269899,0.4309352,75.5975,19.982848739606673,75.611875,19.98946557525676,75.59375,19.97467048382776,0,88.595,14.400945281473712,88.625,14.4527030343808,88.57375,14.423619897151339,0,107.23875,8.502455435784418,107.27,8.525379756937518,107.26875,8.530842481109355,0
1386,20260103_213507_baia23_VIPWX.jpg,0.409296341231048,0.21739753751969168,179.81654,0.11747327946843762,-0.18763515,79.814375,14.468540643733734,79.820625,14.46157666402163,79.78875,14.470888826796369,5,88.35125,15.28677119072239,88.35375,15.290883262176191,88.348125,15.291605016621865,3,99.59875,20.85378259303333,99.633125,20.887191714885343,99.60125,20.898797774931932,10
1386,20260109_064313_baia14_IPC3.jpg,0.412813641207876,0.19393326895777835,177.61328,0.10427257198082916,1.8440838,72.388125,4.780557915596777,72.388125,4.780557915596777,72.3225,4.737192602164281,0,107.203125,19.250957514741312,107.22875,19.267885806115313,107.215625,19.268280433380014,4,101.376875,26.99559853447178,101.420625,27.004906028523315,101.3975,26.997120101040405,4
1386,RLC2_00_20260101061957_baia9_RLC2.jpg,0.36578166892165015,0.18999156471653084,179.17125,0.08914758632082279,1.9450544,79.864375,18.937917806859733,79.873125,18.938209464845798,79.8425,18.94492527697061,0,94.291875,11.55061400897697,94.308125,11.577594049904107,94.2825,11.58270019252851,0,99.8075,18.898192869954524,99.83,18.90574912559669,99.806875,18.931180040725803,0
1386,20260110_065810_baia21_IPC2.jpg,0.35335529112169684,0.17219234146759582,172.51279,0.07861387676348419,3.1307642,104.425625,6.554156571167263,104.461875,6.6040553059748826,104.43375,6.566628582271119,0,92.275,18.87105919125898,92.29125,18.892331074737704,92.225,18.93688530355507,6,116.700625,43.795601943681234,116.71625,43.81282045175247,116.70375,43.80052495047862,15
1386,20260102_142216_baia20_IPC2.jpg,0.4310467178912469,0.21390119878737332,175.51938,0.11827741538755143,1.4634019,128.836875,35.69321035203159,128.87875,35.715407017665356,128.858125,35.69293342504052,8,154.356875,22.530801477851934,154.413125,22.539935730484572,154.379375,22.51594878323752,1,152.166875,24.78250951244395,152.220625,24.779113172375137,152.200625,24.764573984007374,2
1386,RLC2_00_20260101214715_baia7_RLC2.jpg,0.3658052731734534,0.2477363751273289,176.48514,0.10738486317296256,4.642067,88.54375,21.365464795728176,88.556875,21.376927170067617,88.53625,21.38018793035973,21,82.029375,16.219849324496668,82.0375,16.221893963098143,82.01125,16.229136558594238,36,95.979375,19.01996187192222,95.991875,19.02342132699518,95.975625,19.04018857205398,31
1386,20260105_150506_baia23_VIPWX.jpg,0.43356795860216435,0.2114092920819229,177.78644,0.11960206522075179,-1.1193767,139.28375,36.07481096190942,139.306875,36.086219014110846,139.28625,36.08684747851355,4,132.56625,19.82638673428671,132.63125,19.85044768859131,132.624375,19.84494975703831,2,118.92875,21.605263790046628,118.971875,21.627987284635964,118.966875,21.63892968088706,2
1386,20260109_221309_baia16_IPC1.jpg,0.44258907785003204,0.21596530109028642,179.07062,0.12652861221070844,-3.0683022,53.884375,17.75953281647282,53.980625,17.69502753909626,53.899375,17.73821438616004,0,94.58,17.931636846646207,94.60625,17.95469885399084,94.599375,17.93906699383708,2,91.4875,36.86970089043306,91.533125,36.8476105430783,91.501875,36.884142886671164,13
1386,20260108_065303_baia23_VIPWX.jpg,0.3629602591427976,0.18847161172792493,177.57988,0.10292341657819509,-0.7075715,138.98125,31.122715152079838,139.0375,31.159045135401694,139.005,31.14024686800026,1,121.77875,16.561621250273173,121.8175,16.58302426428907,121.816875,16.584279913049436,1,118.3575,29.79462524936335,118.420625,29.852197567505396,118.4,29.83869132519052,7
1386,RLC1_00_20260107143158_baia11_RLC1.jpg,0.3795325820756495,0.21513998137698517,177.39969,0.10513251108752725,4.0477314,79.186875,8.017914487843768,79.186875,8.017914487843768,79.125,8.046078237253226,1,154.88,17.09837272959038,154.928125,17.09456665096764,154.9025,17.08169323427862,4,137.056875,30.95839773364208,137.103125,30.96532318956763,137.07,30.96932110976926,3
