cow_id,file_name,pose_spine_tilt,dist_hooks_norm,dist_pins_norm,dist_loin_norm,angle_spine_curvature,angle_rump_openness,area_hip_norm,color_avg_b,color_std_b,color_avg_g,color_std_g,color_avg_r,color_std_r
1106,20260107_214903_baia23_VIPWX.jpg,-1.6086391,0.39607467192346113,0.18596183468147198,0.674771518614002,177.30708,76.17629,0.09216578828419289,38.8,8.207584568217646,38.8,8.207584568217646,38.8,8.207584568217646
1106,RLC1_00_20260115063543_baia10_RLC1.jpg,7.4997897,0.3404913335084595,0.208807787609309,0.7138963253122976,175.47224,64.23861,0.09224488372878158,36.007777777777775,12.539313535860614,36.007777777777775,12.539313535860614,36.007777777777775,12.539313535860614
1106,RLC1_00_20260102062643_baia4_RLC1.jpg,1.99797,0.3794828848261456,0.17611932155639443,0.706189578165563,178.54613,77.32743,0.07948508966767595,63.882222222222225,10.79678530116748,63.882222222222225,10.79678530116748,63.882222222222225,10.79678530116748
1106,20260101_065012_baia19_IPC2.jpg,-3.2964404,0.40862499088743887,0.20456374505052505,0.7179045498168337,177.72589,75.13428,0.10883302176362235,71.73,10.857122086446296,71.73,10.857122086446296,71.73,10.857122086446296
1106,20260105_150019_baia16_IPC1.jpg,-2.7886047,0.3956864423984789,0.24364524673097646,0.7367626577533344,175.49515,72.02942,0.11868148365508369,134.7277777777778,25.45816405956939,134.7277777777778,25.45816405956939,134.7277777777778,25.45816405956939
1106,20260106_064606_baia23_VIPWX.jpg,-0.5313153,0.39793750174642367,0.17844654637425317,0.7023489706190782,177.05429,75.906425,0.09004614531269951,73.7388888888889,10.454219716293665,73.7388888888889,10.454219716293665,73.7388888888889,10.454219716293665
1106,RLC1_00_20260115062941_baia10_RLC1.jpg,6.250255,0.3351526687135356,0.20570619202010948,0.6971836668552808,170.63092,63.158962,0.09025141566919956,33.28777777777778,8.411266621195615,33.28777777777778,8.411266621195615,33.28777777777778,8.411266621195615
1106,RLC3_00_20260113214502_baia6_RLC3.jpg,1.3048093,0.3715865162549539,0.18804033025239628,0.683188349446816,179.13634,77.83391,0.07978136169260124,60.78777777777778,7.469676889900002,60.78777777777778,7.469676889900002,60.78777777777778,7.469676889900002
1106,20260101_064610_baia19_IPC2.jpg,-2.8081987,0.412197453791967,0.1869062513097515,0.6996723832315007,174.99084,75.18147,0.10360608898947754,48.59111111111111,15.970303305019632,48.59111111111111,15.970303305019632,48.59111111111111,15.970303305019632
1106,RLC2_00_20260107064727_baia8_RLC2.jpg,3.9918718,0.39894442412118275,0.2109931786021548,0.7029913742343838,178.58113,76.00882,0.09371864779638354,60.98111111111111,6.121789760890455,60.98111111111111,6.121789760890455,60.98111111111111,6.121789760890455
1106,20260108_220615_baia17_VIPWX.jpg,-2.9554238,0.39329979043673935,0.21536601216279658,0.6992698159193411,176.27927,71.1952,0.11147229000808503,15.865555555555556,4.192153016479748,15.865555555555556,4.192153016479748,15.865555555555556,4.192153016479748
1106,20260106_143811_baia21_IPC2.jpg,3.746457,0.37466733992363227,0.16116952246645364,0.6437348198365006,175.6059,76.53181,0.06972196359788445,68.61777777777777,4.324929743238682,68.61777777777777,4.324929743238682,68.61777777777777,4.324929743238682
1106,RLC3_00_20260113214401_baia6_RLC3.jpg,1.7257171,0.3631167055729773,0.18808476543110553,0.6754989800573657,178.8203,79.652725,0.06900289074284768,63.06666666666667,2.6745716167890015,63.06666666666667,2.6745716167890015,63.06666666666667,2.6745716167890015
1106,20260110_070116_baia19_IPC2.jpg,-1.7789222,0.41726790025010957,0.2326603717030087,0.708847591028715,178.20125,73.698105,0.12047199490273211,64.47222222222223,18.8098173408213,64.47222222222223,18.8098173408213,64.47222222222223,18.8098173408213
1106,20260110_070212_baia19_IPC2.jpg,-2.8311846,0.4166125640869073,0.22059408278515832,0.7157208559246875,178.38467,74.92532,0.11709840226048399,82.14444444444445,14.353134470762908,82.14444444444445,14.353134470762908,82.14444444444445,14.353134470762908
1106,RLC1_00_20260104062844_baia12_RLC1.jpg,1.2847463,0.3683710740785541,0.1978577445927385,0.6719743802080761,179.1498,78.45373,0.08103852982170906,95.00222222222222,11.086628360103974,95.00222222222222,11.086628360103974,95.00222222222222,11.086628360103974
1106,20260108_071711_baia21_IPC2.jpg,4.474669,0.36633714023545566,0.1467164552327505,0.6362600737894846,174.71039,81.40127,0.05630725590103619,54.2,2.9280255007997,54.2,2.9280255007997,54.2,2.9280255007997
1106,20260106_064306_baia23_VIPWX.jpg,-1.6759902,0.40212768610201033,0.20229670361201485,0.7163626234013419,178.61449,75.34227,0.10262086185328713,71.32555555555555,26.807619402414147,71.32555555555555,26.807619402414147,71.32555555555555,26.807619402414147
1106,20260102_220014_baia14_IPC3.jpg,0.7081273,0.3893258096831784,0.2028183886367325,0.7063195863018452,179.78877,74.687,0.09554009998546943,60.79333333333334,7.2618913973335255,60.79333333333334,7.2618913973335255,60.79333333333334,7.2618913973335255
1106,20260105_071707_baia17_IPC1.jpg,2.0658765,0.41530984277190847,0.2154450373298872,0.7016875225976597,178.48753,76.31492,0.10582662743328665,107.70222222222222,29.44328249279651,107.70222222222222,29.44328249279651,107.70222222222222,29.44328249279651
1106,RLC1_00_20260102062743_baia11_RLC1.jpg,5.1269417,0.3543620723772276,0.1953458211254633,0.6855610889138459,175.43677,70.84084,0.08292114385801502,81.82222222222222,6.098957611806896,81.82222222222222,6.098957611806896,81.82222222222222,6.098957611806896
